Delta,g_b,Spectral_Gap,Max_Ergotropy,Max_Efficiency,BLP_Measure
-0.5,0.0,0.0,0.0114,0.0463,0.2829
-0.389,0.0,0.0,0.0158,0.0417,0.3318
-0.278,0.0,0.0,0.0178,0.0374,0.375
-0.167,0.0,0.0,0.0173,0.035,0.387
-0.056,0.0,0.0,0.0153,0.0317,0.3896
0.056,0.0,0.0,0.0128,0.0284,0.383
0.167,0.0,0.0,0.0104,0.0252,0.3632
0.278,0.0,0.0,0.0083,0.0224,0.336
0.389,0.0,0.0,0.0066,0.0196,0.3055
0.5,0.0,0.0,0.0051,0.0172,0.2572
-0.5,0.022,0.0,0.0114,0.0463,0.2827
-0.389,0.022,0.0,0.0158,0.0417,0.3315
-0.278,0.022,0.0,0.0178,0.0374,0.3745
-0.167,0.022,0.0,0.0173,0.035,0.3867
-0.056,0.022,0.0,0.0153,0.0317,0.3896
0.056,0.022,0.0,0.0128,0.0284,0.3831
0.167,0.022,0.0,0.0104,0.0252,0.3634
0.278,0.022,0.0,0.0083,0.0224,0.3363
0.389,0.022,0.0,0.0066,0.0196,0.3058
0.5,0.022,0.0,0.0051,0.0172,0.2574
-0.5,0.044,0.0,0.0114,0.0463,0.2821
-0.389,0.044,0.0,0.0157,0.0417,0.3306
-0.278,0.044,0.0,0.0177,0.0374,0.3732
-0.167,0.044,0.0,0.0172,0.0349,0.3857
-0.056,0.044,0.0,0.0152,0.0316,0.3894
0.056,0.044,0.0,0.0128,0.0284,0.3833
0.167,0.044,0.0,0.0104,0.0252,0.3641
0.278,0.044,0.0,0.0083,0.0224,0.3372
0.389,0.044,0.0,0.0066,0.0196,0.3067
0.5,0.044,0.0,0.0051,0.0172,0.2579
-0.5,0.067,0.0,0.0114,0.0463,0.2807
-0.389,0.067,0.0,0.0157,0.0417,0.3291
-0.278,0.067,0.0,0.0177,0.0374,0.3709
-0.167,0.067,0.0,0.0172,0.0348,0.3842
-0.056,0.067,0.0,0.0152,0.0316,0.3891
0.056,0.067,0.0,0.0128,0.0283,0.3837
0.167,0.067,0.0,0.0104,0.0252,0.3654
0.278,0.067,0.0,0.0083,0.0224,0.3388
0.389,0.067,0.0,0.0066,0.0196,0.3082
0.5,0.067,0.0,0.0051,0.0172,0.2589
-0.5,0.089,0.0,0.0113,0.0463,0.2788
-0.389,0.089,0.0,0.0156,0.0417,0.3269
-0.278,0.089,0.0,0.0176,0.0374,0.3677
-0.167,0.089,0.0,0.0171,0.0347,0.3819
-0.056,0.089,0.0,0.0152,0.0315,0.3885
0.056,0.089,0.0,0.0128,0.0283,0.3843
0.167,0.089,0.0,0.0104,0.0252,0.3673
0.278,0.089,0.0,0.0083,0.0224,0.3411
0.389,0.089,0.0,0.0066,0.0196,0.3105
0.5,0.089,0.0,0.0051,0.0172,0.2603
-0.5,0.111,0.0,0.0113,0.0463,0.2765
-0.389,0.111,0.0,0.0155,0.0417,0.3239
-0.278,0.111,0.0,0.0175,0.0374,0.3637
-0.167,0.111,0.0,0.0171,0.0345,0.3792
-0.056,0.111,0.0,0.0151,0.0314,0.3876
0.056,0.111,0.0,0.0127,0.0282,0.3851
0.167,0.111,0.0,0.0104,0.0251,0.3698
0.278,0.111,0.0,0.0083,0.0224,0.3443
0.389,0.111,0.0,0.0066,0.0196,0.3136
0.5,0.111,0.0,0.0052,0.0172,0.2623
-0.5,0.133,0.0,0.0113,0.0463,0.2733
-0.389,0.133,0.0,0.0154,0.0417,0.3201
-0.278,0.133,0.0,0.0174,0.0374,0.3588
-0.167,0.133,0.0,0.017,0.0343,0.3755
-0.056,0.133,0.0,0.0151,0.0313,0.3863
0.056,0.133,0.0,0.0127,0.0282,0.3861
0.167,0.133,0.0,0.0104,0.0251,0.373
0.278,0.133,0.0,0.0083,0.0224,0.3482
0.389,0.133,0.0,0.0066,0.0197,0.3175
0.5,0.133,0.0,0.0052,0.0173,0.2648
-0.5,0.156,0.0,0.0113,0.0463,0.27
-0.389,0.156,0.0,0.0153,0.0417,0.3158
-0.278,0.156,0.0,0.0173,0.0374,0.3533
-0.167,0.156,0.0,0.0169,0.0341,0.3711
-0.056,0.156,0.0,0.015,0.0312,0.3847
0.056,0.156,0.0,0.0127,0.0281,0.3874
0.167,0.156,0.0,0.0104,0.0251,0.3773
0.278,0.156,0.0,0.0083,0.0224,0.3533
0.389,0.156,0.0,0.0066,0.0197,0.3222
0.5,0.156,0.0,0.0052,0.0173,0.2678
-0.5,0.178,0.0,0.0113,0.0463,0.2661
-0.389,0.178,0.0,0.0152,0.0417,0.312
-0.278,0.178,0.0,0.0171,0.0373,0.3469
-0.167,0.178,0.0,0.0168,0.0338,0.3665
-0.056,0.178,0.0,0.015,0.031,0.3827
0.056,0.178,0.0,0.0127,0.0281,0.3891
0.167,0.178,0.0,0.0104,0.0251,0.3822
0.278,0.178,0.0,0.0083,0.0224,0.3594
0.389,0.178,0.0,0.0066,0.0197,0.3277
0.5,0.178,0.0,0.0052,0.0173,0.2717
-0.5,0.2,0.0,0.0113,0.0462,0.261
-0.389,0.2,0.0,0.015,0.0417,0.3076
-0.278,0.2,0.0,0.0169,0.0373,0.3397
-0.167,0.2,0.0,0.0167,0.0335,0.3623
-0.056,0.2,0.0,0.0149,0.0309,0.3803
0.056,0.2,0.0,0.0127,0.028,0.3912
0.167,0.2,0.0,0.0104,0.0251,0.3879
0.278,0.2,0.0,0.0083,0.0225,0.3667
0.389,0.2,0.0,0.0066,0.0197,0.3338
0.5,0.2,0.0,0.0052,0.0173,0.2755
