Delta,g_b,Spectral_Gap,Max_Ergotropy,Max_Efficiency,BLP_Measure
-0.5,0.0,0.005,0.2902,0.3412,1.3382
-0.389,0.0,0.005,0.4621,0.4693,1.4161
-0.278,0.0,0.005,0.619,0.5521,1.5176
-0.167,0.0,0.005,0.7271,0.5951,1.4568
-0.056,0.0,0.005,0.776,0.6104,1.4573
0.056,0.0,0.005,0.7627,0.6044,1.5756
0.167,0.0,0.005,0.6899,0.5783,1.5388
0.278,0.0,0.005,0.5742,0.5291,1.4583
0.389,0.0,0.005,0.4349,0.4523,1.3267
0.5,0.0,0.005,0.2883,0.343,1.2128
-0.5,0.022,0.00507,0.2903,0.3413,1.3371
-0.389,0.022,0.00508,0.4622,0.4694,1.4147
-0.278,0.022,0.00507,0.6191,0.5521,1.5155
-0.167,0.022,0.00504,0.7272,0.5951,1.455
-0.056,0.022,0.00504,0.7761,0.6104,1.4565
0.056,0.022,0.00503,0.7628,0.6044,1.5754
0.167,0.022,0.00502,0.69,0.5783,1.5389
0.278,0.022,0.00501,0.5743,0.5291,1.4587
0.389,0.022,0.00501,0.435,0.4523,1.3281
0.5,0.022,0.00501,0.2884,0.343,1.2134
-0.5,0.044,0.00529,0.2905,0.3415,1.3339
-0.389,0.044,0.00532,0.4625,0.4696,1.4108
-0.278,0.044,0.00526,0.6195,0.5522,1.5091
-0.167,0.044,0.00518,0.7276,0.5951,1.4497
-0.056,0.044,0.00513,0.7764,0.6104,1.4542
0.056,0.044,0.0051,0.7631,0.6043,1.5748
0.167,0.044,0.00507,0.6904,0.5782,1.5395
0.278,0.044,0.00507,0.5746,0.5292,1.4597
0.389,0.044,0.00507,0.4353,0.4524,1.3325
0.5,0.044,0.00506,0.2887,0.3432,1.215
-0.5,0.067,0.00563,0.2908,0.3418,1.3283
-0.389,0.067,0.00569,0.463,0.4698,1.4041
-0.278,0.067,0.00557,0.6201,0.5524,1.4985
-0.167,0.067,0.00539,0.7281,0.5952,1.4409
-0.056,0.067,0.00528,0.7769,0.6104,1.4502
0.056,0.067,0.0052,0.7636,0.6043,1.5734
0.167,0.067,0.00517,0.6911,0.5782,1.541
0.278,0.067,0.00515,0.5752,0.5293,1.4608
0.389,0.067,0.00514,0.4358,0.4527,1.3395
0.5,0.067,0.00514,0.289,0.3435,1.2176
-0.5,0.089,0.00605,0.2913,0.3422,1.32
-0.389,0.089,0.00615,0.4637,0.4702,1.395
-0.278,0.089,0.00598,0.6209,0.5526,1.4846
-0.167,0.089,0.00569,0.7289,0.5953,1.4285
-0.056,0.089,0.00549,0.7776,0.6103,1.4451
0.056,0.089,0.00535,0.7644,0.6042,1.5717
0.167,0.089,0.00529,0.692,0.5782,1.5423
0.278,0.089,0.00526,0.5759,0.5295,1.4621
0.389,0.089,0.00524,0.4364,0.453,1.3487
0.5,0.089,0.00524,0.2896,0.3439,1.2211
-0.5,0.111,0.00653,0.2919,0.3427,1.3091
-0.389,0.111,0.00666,0.4645,0.4707,1.3829
-0.278,0.111,0.00646,0.622,0.5529,1.4677
-0.167,0.111,0.00603,0.7299,0.5954,1.4135
-0.056,0.111,0.00573,0.7784,0.6103,1.4382
0.056,0.111,0.00553,0.7653,0.6042,1.5678
0.167,0.111,0.00544,0.6932,0.5782,1.5407
0.278,0.111,0.00538,0.5769,0.5296,1.4626
0.389,0.111,0.00537,0.4373,0.4534,1.3583
0.5,0.111,0.00535,0.2902,0.3444,1.2259
-0.5,0.133,0.00702,0.2926,0.3433,1.2947
-0.389,0.133,0.0072,0.4656,0.4713,1.3672
-0.278,0.133,0.00698,0.6232,0.5533,1.4484
-0.167,0.133,0.00642,0.7311,0.5955,1.3986
-0.056,0.133,0.00601,0.7794,0.6103,1.4282
0.056,0.133,0.00574,0.7663,0.6041,1.5614
0.167,0.133,0.0056,0.6947,0.5781,1.5353
0.278,0.133,0.00553,0.5784,0.5299,1.4608
0.389,0.133,0.0055,0.4383,0.4538,1.3681
0.5,0.133,0.00549,0.291,0.3451,1.2305
-0.5,0.156,0.00747,0.2934,0.344,1.2777
-0.389,0.156,0.00772,0.4668,0.472,1.3477
-0.278,0.156,0.00752,0.6247,0.5537,1.4282
-0.167,0.156,0.00684,0.7324,0.5957,1.3802
-0.056,0.156,0.0063,0.7806,0.6103,1.4146
0.056,0.156,0.00596,0.7676,0.604,1.5524
0.167,0.156,0.0058,0.6963,0.5781,1.5253
0.278,0.156,0.00569,0.5802,0.5301,1.4579
0.389,0.156,0.00565,0.4395,0.4544,1.3766
0.5,0.156,0.00562,0.292,0.3458,1.2349
-0.5,0.178,0.0078,0.2943,0.3448,1.2604
