Delta,g_b,Spectral_Gap,Max_Ergotropy,Max_Efficiency,BLP_Measure
-0.5,0.0,0.005,0.2611,0.328,1.4107
-0.389,0.0,0.005,0.2802,0.3443,1.2437
-0.278,0.0,0.005,0.4207,0.4449,1.3575
-0.167,0.0,0.005,0.5877,0.5201,1.3945
-0.056,0.0,0.005,0.6953,0.5637,1.4226
0.056,0.0,0.005,0.7337,0.5801,1.5335
0.167,0.0,0.005,0.7054,0.5751,1.4805
0.278,0.0,0.005,0.6317,0.5497,1.425
0.389,0.0,0.005,0.5278,0.5048,1.3669
0.5,0.0,0.005,0.409,0.432,1.3527
-0.5,0.022,0.00501,0.2611,0.328,1.4089
-0.389,0.022,0.005,0.2802,0.3443,1.2427
-0.278,0.022,0.00501,0.4207,0.4449,1.3577
-0.167,0.022,0.00501,0.5878,0.5201,1.3948
-0.056,0.022,0.00501,0.6953,0.5637,1.4229
0.056,0.022,0.00501,0.7337,0.58,1.5334
0.167,0.022,0.00501,0.7054,0.5751,1.4804
0.278,0.022,0.00501,0.6317,0.5496,1.4244
0.389,0.022,0.00501,0.5278,0.5048,1.3665
0.5,0.022,0.00501,0.409,0.432,1.3523
-0.5,0.044,0.00496,0.2611,0.328,1.4032
-0.389,0.044,0.00493,0.2803,0.3443,1.2398
-0.278,0.044,0.00493,0.4207,0.4449,1.3584
-0.167,0.044,0.00498,0.5879,0.52,1.3956
-0.056,0.044,0.00499,0.6955,0.5636,1.4237
0.056,0.044,0.00497,0.7339,0.58,1.5333
0.167,0.044,0.00497,0.7056,0.575,1.48
0.278,0.044,0.00497,0.6317,0.5496,1.4227
0.389,0.044,0.00497,0.5278,0.5047,1.3653
0.5,0.044,0.00497,0.4089,0.4319,1.351
-0.5,0.067,0.0045,0.2611,0.328,0
-0.389,0.067,0.00447,0.2803,0.3444,0
-0.278,0.067,0.00449,0.4208,0.4449,0
-0.167,0.067,0.00471,0.5882,0.52,0
-0.056,0.067,0.00475,0.6957,0.5636,0
0.056,0.067,0.00474,0.7341,0.5799,0
0.167,0.067,0.00474,0.7058,0.5749,0
0.278,0.067,0.00474,0.6318,0.5494,0
0.389,0.067,0.00475,0.5277,0.5046,0
0.5,0.067,0.00476,0.4089,0.4318,0
-0.5,0.089,0.00354,0.2611,0.328,0
-0.389,0.089,0.00357,0.2803,0.3444,0
-0.278,0.089,0.00371,0.4209,0.4449,0
-0.167,0.089,0.0042,0.5885,0.5199,0
-0.056,0.089,0.0043,0.696,0.5635,0
0.056,0.089,0.00428,0.7344,0.5798,0
0.167,0.089,0.00428,0.7061,0.5747,0
0.278,0.089,0.00428,0.6318,0.5493,0
0.389,0.089,0.0043,0.5277,0.5044,0
0.5,0.089,0.00435,0.4088,0.4316,0
-0.5,0.111,0.00242,0.2611,0.328,0
-0.389,0.111,0.00257,0.2804,0.3444,0
-0.278,0.111,0.00287,0.4211,0.4449,0
-0.167,0.111,0.00367,0.589,0.5198,0
-0.056,0.111,0.00387,0.6964,0.5633,0
0.056,0.111,0.00381,0.7347,0.5796,0
0.167,0.111,0.00377,0.7064,0.5745,0
0.278,0.111,0.00381,0.6319,0.5491,0
0.389,0.111,0.0039,0.5277,0.5042,0
0.5,0.111,0.00406,0.4087,0.4314,0
-0.5,0.133,0.0015,0.2611,0.3279,0
-0.389,0.133,0.00182,0.2805,0.3444,0
-0.278,0.133,0.0022,0.4214,0.4448,0
-0.167,0.133,0.00335,0.5895,0.5197,0
-0.056,0.133,0.00346,0.6969,0.5632,0
0.056,0.133,0.00345,0.7351,0.5794,0
0.167,0.133,0.00341,0.7068,0.5742,0
0.278,0.133,0.00355,0.6321,0.5488,0
0.389,0.133,0.00382,0.5277,0.5039,0
0.5,0.133,0.00421,0.4086,0.4312,0
-0.5,0.156,0.0009,0.2611,0.3279,0
-0.389,0.156,0.00147,0.2806,0.3445,0
-0.278,0.156,0.00191,0.4219,0.4448,0
-0.167,0.156,0.00246,0.5902,0.5197,0
-0.056,0.156,0.00253,0.6976,0.563,0
0.056,0.156,0.00262,0.7356,0.5791,0
0.167,0.156,0.00273,0.7073,0.5739,0
0.278,0.156,0.00333,0.6323,0.5485,0
0.389,0.156,0.00413,0.5278,0.5037,0
0.5,0.156,0.00486,0.4086,0.431,0
-0.5,0.178,0.00026,0.261,0.3279,0
-0.389,0.178,0.00043,0.2807,0.3446,0
-0.278,0.178,0.00102,0.4225,0.4449,0
-0.167,0.178,0.00157,0.5909,0.5196,0
-0.056,0.178,0.00174,0.6986,0.5628,0
0.056,0.178,0.00199,0.7361,0.5788,0
0.167,0.178,0.00226,0.7079,0.5736,0
0.278,0.178,0.0031,0.6327,0.5482,0
0.389,0.178,0.00429,0.5279,0.5034,0
0.5,0.178,0.00537,0.4086,0.4308,0
-0.5,0.2,0.00019,0.261,0.3279,0
-0.389,0.2,0.00042,0.2809,0.3447,0
-0.278,0.2,0.0004,0.4233,0.4449,0
-0.167,0.2,0.00107,0.5918,0.5195,0
-0.056,0.2,0.00142,0.6996,0.5626,0
0.056,0.2,0.00194,0.7366,0.5785,0
0.167,0.2,0.00237,0.7085,0.5732,0
0.278,0.2,0.00346,0.633,0.5478,0
0.389,0.2,0.00494,0.5281,0.503,0
0.5,0.2,0.00607,0.4087,0.4306,0
